ParticipantID	Color	Rank	Country	Problem1_id	Problem1_memory	Problem1_time	Problem1_language	Problem2_id	Problem2_memory	Problem2_time	Problem2_language	Problem3_id	Problem3_memory	Problem3_time	Problem3_language	Problem4_id	Problem4_memory	Problem4_time	Problem4_language	Problem5_id	Problem5_memory	Problem5_time	Problem5_language	Problem6_id	Problem6_memory	Problem6_time	Problem6_language
29090425	black	1	-	62793808	100	171	Kotlin	62796367	16	124	Python 3	62791588	8	311	FPC	NO	-	-	-	62808684	3920	46	GNU C11	62811108	38912	826	GNU C++17
29058912	violet	2	United States	62784582	8	31	GNU C++17	62786209	8	46	GNU C++17	62792622	716	46	GNU C++17	62802950	11140	373	GNU C++17	62812842	51896	140	GNU C++17	-	-	-	-
29053879	violet	3	China	62784627	8	31	GNU C++17	62787426	8	31	GNU C++17	62791071	3924	46	GNU C++17	62812650	15844	171	GNU C++17	62804306	12744	249	GNU C++17	-	-	-	-
29088469	black	4	Россия	62784321	4	31	GNU C++17	62787186	8	31	GNU C++17	62789610	428	46	GNU C++17	62812836	18540	156	GNU C++17	62804069	8564	187	GNU C++17	-	-	-	-
29087161	violet	5	Germany	62785968	8	46	GNU C++14	62788924	8	31	GNU C++14	62791879	1296	46	GNU C++14	62802625	34552	187	GNU C++14	62813891	4708	62	GNU C++14	-	-	-	-
29089808	violet	6	-	62783805	8	31	GNU C++11	62792966	8	31	GNU C++11	62789897	12	46	GNU C++11	62815190	8792	93	GNU C++11	62807146	796	93	GNU C++11	-	-	-	-
29054986	violet	7	Japan	62784292	16	30	GNU C++14	62790776	20	46	GNU C++14	62794126	428	46	GNU C++14	62803700	47184	343	GNU C++14	62814095	4520	187	GNU C++14	-	-	-	-
29091733	violet	8	-	62799939	8	31	GNU C++17	62793499	8	31	GNU C++17	62795764	1284	46	GNU C++17	62813698	10628	124	GNU C++17	62805221	16404	265	GNU C++17	-	-	-	-
29090440	blue	9	China	62784596	8	31	GNU C++17	62788719	8	31	GNU C++17	62792967	444	46	GNU C++17	62812781	7892	155	GNU C++17	62811322	4176	139	GNU C++17	-	-	-	-
29074379	violet	10	China	62785095	8	30	GNU C++11	62790312	8	46	GNU C++11	62790282	8	46	GNU C++11	62814654	33720	171	GNU C++11	62812238	5972	109	GNU C++11	-	-	-	-
29089740	violet	11	Россия	62785056	0	124	Java 8	62788960	0	140	Java 8	62791984	0	155	Java 8	NO	-	-	-	62805316	0	155	Java 8	-	-	-	-
29089658	violet	12	-	62790291	0	30	GNU C++17	62785414	0	31	GNU C++17	62793895	352	46	GNU C++17	-	-	-	-	62805891	5860	62	GNU C++17	-	-	-	-
29090253	violet	13	Japan	62784662	8	31	GNU C++14	62786772	8	46	GNU C++14	62789462	712	46	GNU C++14	NO	-	-	-	62807935	6460	124	GNU C++14	-	-	-	-
29071421	violet	14	South Korea	62784215	796	46	GNU C++17	62787247	8	31	GNU C++17	62790719	388	46	GNU C++17	62803442	31584	265	GNU C++17	-	-	-	-	-	-	-	-
29050345	violet	15	Индия	62784012	12	31	GNU C++14	62786648	8	46	GNU C++14	62789824	700	46	GNU C++14	62805006	11408	124	GNU C++14	-	-	-	-	-	-	-	-
29028510	blue	16	-	62783846	8	31	GNU C++14	62784848	8	46	GNU C++14	62786960	372	46	GNU C++14	62803249	4700	93	GNU C++14	-	-	-	-	-	-	-	-
29050098	violet	17	-	62784720	12	31	GNU C++17	62788974	12	46	GNU C++17	62793187	12	46	GNU C++17	62804002	36096	171	GNU C++17	-	-	-	-	-	-	-	-
29087808	violet	18	-	62784658	8	31	GNU C++11	62787295	12	31	GNU C++11	62790332	1032	46	GNU C++11	62802909	6908	62	GNU C++11	NO	-	-	-	-	-	-	-
29086779	violet	19	South Korea	62784976	0	31	GNU C++17	62787730	0	46	GNU C++17	62791408	408	46	GNU C++17	62805902	30000	311	GNU C++17	-	-	-	-	-	-	-	-
29063719	blue	20	-	62784753	8	31	GNU C++14	62787714	8	46	GNU C++14	62792941	1636	46	GNU C++14	62806423	4704	93	GNU C++14	-	-	-	-	-	-	-	-
29059290	violet	21	Россия	62785624	0	124	Java 8	62788331	0	124	Java 8	62791006	0	140	Java 8	62804112	16980	327	Java 8	-	-	-	-	-	-	-	-
29068052	violet	22	Japan	62784750	12	31	GNU C++17	62788112	12	31	GNU C++17	62795913	1500	61	GNU C++17	62804288	7488	108	GNU C++17	-	-	-	-	-	-	-	-
29089830	violet	23	-	62784565	24	140	PyPy 3	62786826	56	155	PyPy 3	62795925	6252	233	PyPy 3	62806372	14168	998	PyPy 3	-	-	-	-	-	-	-	-
29058635	violet	24	Индия	62784127	12	31	GNU C++17	62788532	16	31	GNU C++17	62794918	12	61	GNU C++17	62806409	53424	187	GNU C++17	-	-	-	-	-	-	-	-
29087461	violet	25	-	62784314	8	46	GNU C++11	62789720	12	31	GNU C++11	62792702	376	62	GNU C++11	NO	-	-	-	62809233	4064	78	GNU C++11	-	-	-	-
29057288	violet	26	Switzerland	62783785	8	46	GNU C++17	62787743	8	31	GNU C++17	62790866	8	46	GNU C++17	62807263	17556	265	GNU C++17	-	-	-	-	-	-	-	-
29050072	blue	27	China	62785031	4	31	GNU C++11	62788595	12	46	GNU C++11	62792548	376	46	GNU C++11	62808094	17300	499	GNU C++11	-	-	-	-	-	-	-	-
29089947	blue	28	Индия	62784209	4	30	GNU C++14	62789738	12	46	GNU C++14	62791956	1316	46	GNU C++14	62808404	4704	108	GNU C++14	-	-	-	-	-	-	-	-
29086781	violet	29	-	62784524	8	31	GNU C++11	62788673	8	46	GNU C++11	62795971	388	46	GNU C++11	62806148	22008	218	GNU C++11	NO	-	-	-	-	-	-	-
29065728	blue	30	China	62786607	0	15	GNU C++11	62788524	0	31	GNU C++11	62791396	3824	46	GNU C++11	62808763	23536	187	GNU C++11	-	-	-	-	-	-	-	-
29089852	violet	31	Бангладеш	62784716	4540	31	GNU C++14	62787747	12	46	GNU C++14	62794776	1372	62	GNU C++14	-	-	-	-	62812360	32716	249	GNU C++14	-	-	-	-
29070194	violet	32	China	62786618	4540	62	GNU C++17	62790117	12	31	GNU C++17	62793408	376	46	GNU C++17	62805431	23692	217	GNU C++17	-	-	-	-	-	-	-	-
29085220	blue	33	Vietnam	62784692	8	31	GNU C++17	62786690	8	31	GNU C++17	62806806	8	46	GNU C++17	-	-	-	-	62804400	7108	156	GNU C++17	-	-	-	-
29028307	violet	34	China	62784231	0	30	GNU C++17	62788183	0	31	GNU C++17	62793382	348	46	GNU C++17	62807696	8532	124	GNU C++17	-	-	-	-	-	-	-	-
29080790	violet	35	Japan	62785361	12	46	GNU C++17	62788154	12	31	GNU C++17	62793624	424	46	GNU C++17	62807644	46508	561	GNU C++17	NO	-	-	-	-	-	-	-
29050573	blue	36	South Korea	62784054	8	15	GNU C++14	62789014	8	31	GNU C++14	62791911	368	46	GNU C++14	62805695	11152	171	GNU C++14	-	-	-	-	-	-	-	-
29081513	blue	37	-	62783839	12	31	GNU C++11	62786245	8	31	GNU C++11	62792422	392	61	GNU C++11	62809045	42352	187	GNU C++11	-	-	-	-	-	-	-	-
29034562	violet	38	China	62784408	8	30	GNU C++11	62788200	8	31	GNU C++11	62794434	1032	62	GNU C++11	62808038	11008	218	GNU C++11	-	-	-	-	-	-	-	-
29038330	violet	39	Taiwan	62785176	8	15	GNU C++17	62789247	8	31	GNU C++17	62797803	736	46	GNU C++17	62806720	12252	156	GNU C++17	NO	-	-	-	-	-	-	-
29049868	blue	40	Индия	62783909	8	31	GNU C++14	62787161	8	46	GNU C++14	62791985	700	46	GNU C++14	62810503	9524	109	GNU C++14	-	-	-	-	-	-	-	-
29067200	violet	41	China	62784214	4	30	GNU C++17	62787136	12	46	GNU C++17	62790154	376	46	GNU C++17	62809607	4700	124	GNU C++17	-	-	-	-	-	-	-	-
29051248	blue	42	Индия	62785198	16	30	GNU C++14	62787360	20	31	GNU C++14	62792950	728	46	GNU C++14	62810033	5948	93	GNU C++14	-	-	-	-	-	-	-	-
29085411	violet	43	China	62795039	36212	31	GNU C++14	62791767	36216	46	GNU C++14	62796501	37516	46	GNU C++14	62805192	48192	233	GNU C++14	NO	-	-	-	-	-	-	-
29087885	violet	44	-	62784702	20	31	GNU C++17	62787531	16	31	GNU C++17	62793829	380	46	GNU C++17	62808798	4712	93	GNU C++17	-	-	-	-	-	-	-	-
29074742	blue	44	-	62787116	8	30	GNU C++17	62789977	12	46	GNU C++17	62796147	864	62	GNU C++17	62807316	12752	296	GNU C++17	-	-	-	-	-	-	-	-
29038550	violet	46	Vietnam	62784814	8	31	GNU C++14	62786458	8	46	GNU C++14	62790183	740	46	GNU C++14	62808802	12976	139	GNU C++14	-	-	-	-	-	-	-	-
29040484	violet	47	China	62794040	3964	31	GNU C++11	62786337	8	31	GNU C++11	62792585	3964	77	GNU C++11	62807292	32304	452	GNU C++14	-	-	-	-	-	-	-	-
29059843	violet	48	Belarus	62784320	12	15	GNU C++17	62789079	8	46	GNU C++17	62794487	420	46	GNU C++17	62810219	4704	93	GNU C++17	-	-	-	-	-	-	-	-
29086352	blue	49	China	62788317	8	31	GNU C++11	62792144	8	31	GNU C++11	62796735	376	46	GNU C++14	62807130	8560	155	GNU C++14	-	-	-	-	-	-	-	-
29079074	blue	50	-	62785980	4	31	GNU C++14	62788905	8	31	GNU C++14	62793683	1276	46	GNU C++14	62807876	4704	93	GNU C++14	-	-	-	-	-	-	-	-
29040457	violet	51	Бангладеш	62784221	5220	31	GNU C++17	62787279	8	31	GNU C++17	62797612	8	46	GNU C++17	62808454	3328	124	GNU C++17	-	-	-	-	-	-	-	-
29061198	violet	52	Czechia	62784238	8	31	GNU C++17	62788415	8	31	GNU C++17	62794465	1312	46	GNU C++17	62809354	4700	93	GNU C++17	-	-	-	-	-	-	-	-
29080343	violet	53	China	62811038	204	30	GNU C++11	62790016	204	31	GNU C++11	62795481	1284	46	GNU C++11	62804913	8564	78	GNU C++11	-	-	-	-	-	-	-	-
29073687	violet	54	United States	62783942	8	31	GNU C++14	62788070	8	31	GNU C++14	62793609	1088	46	GNU C++14	62809730	17464	358	GNU C++14	-	-	-	-	-	-	-	-
29037393	blue	55	Taiwan	62788225	8	46	GNU C++17	62786194	12	46	GNU C++17	62793666	1304	46	GNU C++17	62809883	19128	296	GNU C++17	-	-	-	-	-	-	-	-
29087926	blue	56	Japan	62790644	8	31	GNU C++14	62792072	8	46	GNU C++14	62798525	8	46	GNU C++14	-	-	-	-	62808665	3924	46	GNU C++14	-	-	-	-
29080422	violet	57	Россия	62785372	4	31	GNU C++11	62790405	8	31	GNU C++11	62792718	540	62	GNU C++11	62807033	5324	171	GNU C++11	-	-	-	-	-	-	-	-
29065312	blue	57	Venezuela	62786710	8	31	GNU C++11	62789944	8	31	GNU C++11	62800920	388	46	GNU C++11	62808338	11020	140	GNU C++11	-	-	-	-	-	-	-	-
29048862	violet	59	Индия	62784591	8	31	GNU C++14	62787198	8	31	GNU C++14	62792605	740	46	GNU C++14	-	-	-	-	62813317	7016	124	GNU C++14	-	-	-	-
29049993	violet	60	Poland	62783831	8	31	GNU C++17	62788774	8	46	GNU C++17	62796285	4004	46	GNU C++17	62810956	22136	234	GNU C++17	-	-	-	-	-	-	-	-
29086245	violet	61	-	62785740	5364	93	GNU C++14	62787732	8	46	GNU C++14	62791967	1304	46	GNU C++14	62809466	31648	280	GNU C++14	-	-	-	-	-	-	-	-
29085706	violet	62	China	62784798	12	31	MS C++ 2017	62796108	12	31	MS C++ 2017	62792039	888	61	MS C++ 2017	62807375	53352	405	MS C++ 2017	-	-	-	-	-	-	-	-
29084970	blue	63	China	62787407	260	31	GNU C++14	62790453	264	31	GNU C++14	62795077	4184	46	GNU C++14	62806571	8788	78	GNU C++14	-	-	-	-	-	-	-	-
29087188	violet	64	Japan	62784370	4	46	GNU C++14	62787937	8	31	GNU C++14	62800833	364	46	GNU C++14	62808391	9320	109	GNU C++14	-	-	-	-	-	-	-	-
29069013	blue	65	Индия	62787377	8	46	GNU C++14	62797729	8	46	GNU C++14	62793830	1292	46	GNU C++14	62807877	4148	139	GNU C++14	-	-	-	-	-	-	-	-
29050357	violet	66	Россия	62783800	12	31	GNU C++17	62788482	8	46	GNU C++17	62794913	420	46	GNU C++17	62809224	11148	187	GNU C++17	-	-	-	-	-	-	-	-
29086504	violet	67	Россия	62784847	4	31	GNU C++17	62788575	8	31	GNU C++17	62795853	3040	46	GNU C++17	62811404	5788	358	GNU C++11	-	-	-	-	-	-	-	-
29085741	blue	68	China	62786010	8	31	GNU C++14	62789912	12	46	GNU C++14	62794890	824	46	GNU C++14	62810512	8564	124	GNU C++14	-	-	-	-	-	-	-	-
29082191	violet	69	Japan	62783837	4	46	GNU C++14	62786597	8	46	GNU C++14	62791065	412	61	GNU C++14	62811293	5480	109	GNU C++14	-	-	-	-	-	-	-	-
29070748	blue	69	Taiwan	62784257	12	30	GNU C++14	62790023	8	31	GNU C++14	62794888	8	46	GNU C++14	62809356	11148	249	GNU C++14	-	-	-	-	-	-	-	-
29066257	violet	71	-	62787059	8	31	GNU C++14	62793456	8	31	GNU C++14	62796877	98056	46	GNU C++14	62810235	20532	202	GNU C++14	-	-	-	-	-	-	-	-
29090969	blue	72	China	62785997	8	31	GNU C++11	62791714	8	46	GNU C++11	62796215	380	46	GNU C++11	62809746	4564	77	GNU C++11	-	-	-	-	-	-	-	-
29074865	violet	73	-	62788647	5368	46	GNU C++17	62790428	16	31	GNU C++17	62809688	3032	46	GNU C++17	-	-	-	-	62808160	13464	295	GNU C++17	-	-	-	-
29030471	violet	74	Poland	62783798	4	31	GNU C++17	62786414	12	46	GNU C++17	62797139	1316	46	GNU C++17	62806836	11148	171	GNU C++17	NO	-	-	-	-	-	-	-
29043575	blue	75	-	62785907	8	31	GNU C++17	62790400	8	31	GNU C++17	62796154	376	46	GNU C++17	62810328	4704	93	GNU C++17	-	-	-	-	-	-	-	-
29058101	violet	75	Syria	62784818	400	31	GNU C++17	62788076	400	31	GNU C++17	62795286	400	46	GNU C++17	62809950	10092	124	GNU C++17	-	-	-	-	-	-	-	-
29090530	violet	77	China	62784360	8	31	GNU C++11	62798357	8	31	GNU C++11	62794033	368	62	GNU C++11	62808731	3144	374	GNU C++11	-	-	-	-	-	-	-	-
29082455	blue	78	-	62785892	8	31	GNU C++14	62788967	12	46	GNU C++14	62794985	420	46	GNU C++14	62812237	4696	93	GNU C++14	-	-	-	-	-	-	-	-
29066305	blue	79	China	62785343	4	31	GNU C++11	62789340	12	31	GNU C++11	62792935	636	77	GNU C++11	62810440	11024	155	GNU C++11	-	-	-	-	-	-	-	-
29035823	blue	80	China	62785611	8	31	GNU C++11	62794208	8	31	GNU C++11	62797934	364	62	GNU C++11	62810295	11824	451	GNU C++11	-	-	-	-	-	-	-	-
29087166	blue	81	South Korea	62784210	12	31	GNU C++17	62806539	12	46	GNU C++17	62794831	356	46	GNU C++17	62804681	4692	93	GNU C++17	-	-	-	-	-	-	-	-
29085839	violet	81	Sweden	62783933	12	46	GNU C++14	62785977	8	31	GNU C++14	62792431	2472	46	GNU C++14	62808799	11172	187	GNU C++14	-	-	-	-	-	-	-	-
29086507	black	83	-	62784287	8	31	GNU C++14	62787080	8	46	GNU C++14	62790419	3924	46	GNU C++14	NO	-	-	-	62815534	2364	155	GNU C++14	-	-	-	-
29051361	violet	84	Vietnam	62784586	8	30	GNU C++11	62787591	8	31	GNU C++11	62793261	672	77	GNU C++11	62812349	166520	389	GNU C++11	-	-	-	-	-	-	-	-
29066895	blue	85	Japan	62783787	8	31	GNU C++14	62786240	8	31	GNU C++14	62788966	1272	46	GNU C++14	62812537	23736	420	GNU C++14	-	-	-	-	-	-	-	-
29084199	blue	86	Bolivia	62784735	8	31	GNU C++14	62787562	8	31	GNU C++14	62791585	992	46	GNU C++14	62811834	34660	499	GNU C++14	-	-	-	-	-	-	-	-
29051268	violet	87	Belarus	62785117	8	31	GNU C++17	62788745	8	46	GNU C++17	62794899	712	62	GNU C++17	62810726	16748	218	GNU C++17	-	-	-	-	-	-	-	-
29089493	blue	87	Ukraine	62784855	0	31	GNU C++14	62791716	0	31	GNU C++14	62798443	328	46	GNU C++14	62811475	11148	155	GNU C++14	-	-	-	-	-	-	-	-
29087153	violet	89	Россия	62784268	8	46	GNU C++14	62787959	8	31	GNU C++14	62792320	8	46	GNU C++14	62808968	21252	390	GNU C++14	-	-	-	-	-	-	-	-
29074303	violet	90	China	62795620	8	31	GNU C++11	62786380	4	31	GNU C++11	62793521	4352	46	GNU C++11	62812848	3488	108	GNU C++11	-	-	-	-	-	-	-	-
29065478	violet	91	South Korea	62785769	8	31	GNU C++14	62788423	12	31	GNU C++14	62796287	384	46	GNU C++14	NO	-	-	-	62813075	7628	139	GNU C++14	-	-	-	-
29089497	violet	92	Japan	62784461	12	31	GNU C++17	62787292	8	31	GNU C++17	62791833	8	46	GNU C++17	-	-	-	-	62814625	4728	264	GNU C++17	-	-	-	-
29065274	violet	93	South Korea	62783778	8	46	GNU C++14	62792661	8	31	GNU C++14	62798410	12	46	GNU C++14	-	-	-	-	62810671	3928	62	GNU C++14	-	-	-	-
29088663	violet	94	Iran	62784009	8	30	GNU C++11	62786669	12	31	GNU C++11	62792766	400	62	GNU C++11	NO	-	-	-	62813468	14880	233	GNU C++11	-	-	-	-
29088423	blue	94	Syria	62784560	8	31	GNU C++14	62793604	8	31	GNU C++14	62798196	1968	46	GNU C++14	62808768	22936	327	GNU C++14	-	-	-	-	-	-	-	-
29058208	blue	96	Syria	62784425	8	31	GNU C++11	62789279	8	46	GNU C++11	62800985	8	77	GNU C++11	62808979	11008	295	GNU C++11	-	-	-	-	-	-	-	-
29041056	blue	97	Россия	62784013	4	31	GNU C++17	62790402	8	46	GNU C++17	62794093	348	46	GNU C++17	62811434	20604	358	GNU C++17	-	-	-	-	-	-	-	-
29088496	blue	98	Бангладеш	62785561	12	30	GNU C++17	62790809	12	31	GNU C++17	62799318	1284	46	GNU C++17	62812116	11152	374	GNU C++17	-	-	-	-	-	-	-	-
29019815	blue	99	Germany	62784044	8	31	GNU C++11	62793649	12	46	GNU C++11	62798510	380	62	GNU C++11	62811104	23608	295	GNU C++11	-	-	-	-	-	-	-	-
29065430	violet	99	Brazil	62783809	8	46	GNU C++17	62787238	8	31	GNU C++17	62791979	1308	61	GNU C++17	62812167	12572	155	GNU C++17	-	-	-	-	-	-	-	-
29039720	blue	99	Сингапур	62785050	0	31	GNU C++11	62791256	0	46	GNU C++11	62793497	1112	46	GNU C++11	62809188	10992	155	GNU C++11	-	-	-	-	-	-	-	-
29089638	blue	102	-	62785500	8	31	GNU C++14	62788764	8	31	GNU C++14	62799211	1316	46	GNU C++14	62811951	23748	217	GNU C++14	-	-	-	-	-	-	-	-
29047390	blue	102	Taiwan	62785642	8	31	GNU C++14	62790062	8	31	GNU C++14	62797663	424	46	GNU C++14	62810798	32016	405	GNU C++14	-	-	-	-	-	-	-	-
29088260	cyan	102	China	62800984	0	15	GNU C++11	62788040	0	31	GNU C++11	62799992	188	46	GNU C++11	62810799	616	46	GNU C++11	-	-	-	-	-	-	-	-
29091591	violet	105	-	62789220	8	31	GNU C++17	62789045	12	31	GNU C++17	62792474	1316	46	GNU C++17	62811061	16948	249	GNU C++17	-	-	-	-	-	-	-	-
29065076	violet	105	China	62785713	8	31	GNU C++11	62789143	8	31	GNU C++11	62793144	388	46	GNU C++11	62812447	115900	202	GNU C++11	-	-	-	-	-	-	-	-
29089875	violet	107	-	62788863	8	31	GNU C++14	62792928	8	46	GNU C++14	62797877	2332	46	GNU C++14	62811211	19904	202	GNU C++14	-	-	-	-	-	-	-	-
29089625	blue	108	Colombia	62784075	1752	156	PyPy 3	62792152	24	156	PyPy 3	62797217	340	46	GNU C++14	62812221	10800	109	GNU C++14	-	-	-	-	-	-	-	-
29051597	violet	109	Syria	62785540	4	31	GNU C++11	62794226	8	31	GNU C++11	62799381	35304	78	GNU C++11	62812160	10816	217	GNU C++11	-	-	-	-	-	-	-	-
29056361	blue	110	Ukraine	62784315	2356	46	GNU C++14	62796428	2356	31	GNU C++14	62798292	5856	61	GNU C++14	62812050	33080	218	GNU C++14	-	-	-	-	-	-	-	-
29069490	blue	110	China	62784546	8	30	GNU C++11	62788078	12	46	GNU C++11	62792812	368	62	GNU C++11	62814444	5872	390	GNU C++11	-	-	-	-	-	-	-	-
29090158	cyan	112	-	62785042	8	31	GNU C++11	62795615	8	31	GNU C++11	62799624	380	61	GNU C++11	62811746	1576	77	GNU C++11	-	-	-	-	-	-	-	-
29057294	violet	113	-	62785425	8	31	GNU C++17	62788596	8	31	GNU C++17	62796406	372	46	GNU C++17	62810910	240088	374	GNU C++17	-	-	-	-	-	-	-	-
29089177	blue	114	Iran	62784049	8	46	GNU C++14	62789401	8	31	GNU C++14	62799921	3156	46	GNU C++14	62810976	22148	233	GNU C++14	-	-	-	-	-	-	-	-
29086684	blue	115	Бангладеш	62788344	4	31	GNU C++17	62791602	8	31	GNU C++17	62800905	12	46	GNU C++17	62811084	30844	358	GNU C++17	-	-	-	-	-	-	-	-
29051189	violet	116	Iran	62784172	8	30	GNU C++14	62787319	12	31	GNU C++14	62793225	4700	46	GNU C++14	62815093	29884	249	GNU C++14	-	-	-	-	-	-	-	-
29091116	blue	117	-	62785349	304	46	GNU C++14	62788475	12	31	GNU C++14	62803223	376	46	GNU C++14	62811055	8532	124	GNU C++14	-	-	-	-	-	-	-	-
29023738	blue	118	-	62785951	0	31	GNU C++14	62798007	0	31	GNU C++14	62793530	348	46	GNU C++14	62812009	8516	124	GNU C++14	-	-	-	-	-	-	-	-
29053261	blue	119	Индия	62784029	4	31	GNU C++17	62787288	8	31	GNU C++17	62791987	2340	46	GNU C++17	62814258	11400	124	GNU C++17	-	-	-	-	-	-	-	-
29030211	blue	120	Кыргызстан	62784061	4	31	GNU C++11	62791167	8	31	GNU C++11	62797738	740	62	GNU C++11	62811722	12280	390	GNU C++11	-	-	-	-	-	-	-	-
29088060	violet	121	Latvia	62785190	8	46	GNU C++14	62789448	8	46	GNU C++14	62799095	388	46	GNU C++14	62811644	24476	421	GNU C++14	-	-	-	-	-	-	-	-
29086668	black	121	Japan	62785179	8	31	GNU C++14	62788808	8	31	GNU C++14	62792559	420	46	GNU C++14	62813775	4696	108	GNU C++14	-	-	-	-	-	-	-	-
29030488	violet	123	Россия	62784528	8	46	GNU C++17	62790204	12	46	GNU C++17	62792450	2336	46	GNU C++17	62814973	59796	592	GNU C++17	-	-	-	-	-	-	-	-
29091441	blue	124	South Korea	62788204	8	31	GNU C++14	62791113	8	46	GNU C++14	62795831	1280	46	GNU C++14	62814676	141084	468	GNU C++14	-	-	-	-	-	-	-	-
29088706	blue	125	-	62789485	8	31	GNU C++17	62787788	8	31	GNU C++17	62794516	3968	46	GNU C++17	-	-	-	-	62815405	10520	156	GNU C++17	-	-	-	-
29068809	blue	126	-	62787568	8	30	GNU C++11	62789930	12	31	GNU C++11	62797734	1188	62	GNU C++11	62814473	3968	108	GNU C++11	-	-	-	-	-	-	-	-
29058677	violet	127	United States	62783847	0	124	Java 8	62784622	0	140	Java 8	62800395	0	140	Java 8	NO	-	-	-	62814787	89788	608	Java 8	-	-	-	-
29088693	violet	128	-	62784698	0	46	GNU C++17	62791549	0	31	GNU C++17	62795439	348	46	GNU C++17	62814021	18156	155	GNU C++17	-	-	-	-	-	-	-	-
29090553	violet	128	Индия	62784340	8	46	GNU C++14	62787464	8	31	GNU C++14	62797015	2340	62	GNU C++14	62814325	11412	139	GNU C++14	-	-	-	-	-	-	-	-
29063007	violet	130	Egypt	62784599	8	31	GNU C++17	62789877	8	46	GNU C++17	62794896	1508	46	GNU C++17	62814822	7048	93	GNU C++17	-	-	-	-	-	-	-	-
29068659	blue	130	-	62785251	8	31	GNU C++14	62790311	8	31	GNU C++14	62795671	380	46	GNU C++14	62812856	1576	93	GNU C++14	-	-	-	-	-	-	-	-
29054594	blue	132	Россия	62784588	16	31	GNU C++17	62787218	12	31	GNU C++17	62802195	376	46	GNU C++17	62810013	11176	156	GNU C++17	-	-	-	-	-	-	-	-
